TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE
MICEXINDEXCF,2014-01-27,1494.18,1495.27,1476.06,1478.23,,
MICEXINDEXCF,2014-01-28,1477.91,1486.09,1467.97,1469.57,,
MICEXINDEXCF,2014-01-29,1468.35,1494.47,1459.87,1462.99,,
MICEXINDEXCF,2014-01-30,1463.05,1473.45,1444.39,1463.2,,
MICEXINDEXCF,2014-01-31,1463.6,1470.6,1448.36,1454.45,,
MICEXINDEXCF,2014-02-03,1453.55,1463.54,1442.06,1442.84,,
MICEXINDEXCF,2014-02-04,1442.52,1442.62,1426.29,1441.16,,
MICEXINDEXCF,2014-02-05,1442.02,1460.75,1437.54,1456,,
MICEXINDEXCF,2014-02-06,1456,1469.18,1454.43,1466.7,,
MICEXINDEXCF,2014-02-07,1465.18,1480.6,1463.96,1478.48,,
MICEXINDEXCF,2014-02-10,1478.22,1485.32,1475.63,1476.28,,
MICEXINDEXCF,2014-02-11,1475.83,1488.95,1473.3,1483.57,,
MICEXINDEXCF,2014-02-12,1484.42,1498.62,1484.42,1496.03,,
MICEXINDEXCF,2014-02-13,1496.07,1498.08,1475.41,1478.62,,
MICEXINDEXCF,2014-02-14,1478.77,1497.94,1478.77,1496.18,,
MICEXINDEXCF,2014-02-17,1494.38,1515.3,1494.32,1507.49,,
MICEXINDEXCF,2014-02-18,1507.81,1518.13,1500.39,1504.24,,
MICEXINDEXCF,2014-02-19,1504.02,1507.97,1482.02,1485.6,,
MICEXINDEXCF,2014-02-20,1485.48,1485.48,1467.52,1480.99,,
MICEXINDEXCF,2014-02-21,1481.85,1492.45,1481.85,1487.64,,
MICEXINDEXCF,2014-02-24,1487.51,1491.78,1480.03,1489.01,,
MICEXINDEXCF,2014-02-25,1489.59,1495.13,1472.43,1478.64,,
MICEXINDEXCF,2014-02-26,1478.9,1486.11,1465.16,1469.51,,
MICEXINDEXCF,2014-02-27,1469.93,1476.26,1431.6,1448.7,,
MICEXINDEXCF,2014-02-28,1448.78,1456.45,1429.25,1444.71,,
